"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1780504290","KOREAN COMMUNITY SERVICES OF ORANGE COUNTY","451 WEST LINCOLN AVENUE","SUITE 100","ANAHEIM","CA","928052912","7145036550","7144093075","2026-07-16","2026-07-16","Community / behavioral health","251S00000X","ELLEN AHN","CHIEF EXECUTIVE OFFICER","7145036550"
"1477472264","ABILENE PROFESSIONAL CENTER PLLC","3444 N 1ST ST STE 101","","ABILENE","TX","796036937","3256901313","3256901383","2026-07-14","2026-07-14","Mental health clinic","261QM0801X","ROY MORRISON","COUNSELOR","3253701362"
"1396664108","BRYAN T. ASTON LCSW LLC","5072 NW 66TH DR","","CORAL SPRINGS","FL","330672109","9174859664","","2026-07-14","2026-07-14","Mental health counselor","101YM0800X","BRYAN ASTON","LCSW","9174859664"
"1942120274","FOUNDATIONS THERAPY","317 N 1ST ST","","ALBEMARLE","NC","280013951","7044380178","","2026-07-17","2026-07-17","Marriage and family therapist","106H00000X","ERICA DUNLAP","OWNER","7044380178"
"1033038161","FIND YOUR CLOUD COUNSELING PLLC","14205 SE 36TH ST STE 100","","BELLEVUE","WA","980061553","5036832269","","2026-07-13","2026-07-13","Mental health counselor","101YM0800X","ANNY CHANG","OWNER","5036832269"
"1316866320","KATYA KENNEDY COUNSELING LLC","9350 INDEPENDENCE DR STE 201","","ANCHORAGE","AK","995074619","9519991874","","2026-07-13","2026-07-13","Professional counselor","101YP2500X","EKATERINA KENNEDY","OWNER","9519991874"
"1326967092","RESONATE EMPOWERMENT SOLUTIONS, LLC","1601 5TH AVE N STE 189","","BIRMINGHAM","AL","352031926","2569510555","","2026-07-15","2026-07-15","Mental health clinic","261QM0801X","KIANNA MCINTOSH","OWNER/EXECUTIVE DIRECTOR","2569510555"
"1447170873","COUNSELING MADE FOR YOU, PLLC","1202 NE MCCLAIN RD BLDG 7","","BENTONVILLE","AR","727123875","4795451545","","2026-07-16","2026-07-16","Mental health counselor","101YM0800X","KATHRYN SHAFFER","OWNER","4795451545"
"1043139934","ANCHOR & BLOOM THERAPY, LLC","1820 E RAY RD. SUITE A109B","","CHANDLER","AZ","852258720","6234046902","","2026-07-14","2026-07-14","Marriage and family therapist","106H00000X","ANGELA PHILLIPS","OWNER","6234046902"
"1144149139","SIX RIVERS WELLNESS","920 SAMOA BLVD STE 209","","ARCATA","CA","955216696","7079409528","7072610541","2026-07-13","2026-07-13","Marriage and family therapist","106H00000X","ALEXA SHOCKLEY","AMFT","4084764493"
"1043130420","ERICKA DRIES INC","116 S 2ND ST","","ASPEN","CO","816111723","3034084001","","2026-07-16","2026-07-16","Mental health counselor","101YM0800X","ERICKA DRIES","CEO","3034084001"
"1205756459","ONDA HARBOR COUNSELING","205 BUOY LN","","EAST LYME","CT","063331777","8603839470","9597773468","2026-07-17","2026-07-17","Community / behavioral health","251S00000X","JAY SOUZA-ERLANDSON","SOLE PROPRIETOR","8603839470"
"1508785510","STAR HEALTH CARE SERVICES LLC","1629 K ST NW STE 300","","WASHINGTON","DC","200061631","2403519156","","2026-07-13","2026-07-13","Mental health counselor","101YM0800X","LINDA MBAH","CEO","2403519156"
"1922928183","SERAPHINA BEHAVIORAL SERVICES","9040 SW 203RD TER","","CUTLER BAY","FL","331891857","3056843521","","2026-07-17","2026-07-17","Behavior analyst","103K00000X","YENISLEIDYS TORRES","OWNER","3056843521"
"1164341988","ROOT AND RIDGE COUNSELING AND CONSULTING LLC","1904 SHIELDS RD STE B","","DALTON","GA","307205064","7062178711","","2026-07-14","2026-07-14","Professional counselor","101YP2500X","BRUCE L BROADRICK","OWNER","7062500804"
