"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1619890340","PSYCH-LOGIC, PSYCHOLOGICAL CORPORATION","8610 E CLIFFSIDE DR APT 252","","ANAHEIM","CA","928081273","8773972630","","2026-07-31","2026-07-31","Professional counselor","101YP2500X","CHRISTIAN TRAUSCH","CEO","7144088838"
"1033031679","DIRECT COUNSELING SERVICES LLC","4601 SPICEWOOD SPRINGS RD STE 100","","AUSTIN","TX","787598598","5129023282","5125353499","2026-07-27","2026-07-27","Mental health counselor","101YM0800X","TEJHAS VYASS","DIRECTOR","7329934599"
"1891617189","WELLBEINGME LLC","2678 N MCMULLEN BOOTH RD APT 8110","","CLEARWATER","FL","337614062","7275157876","","2026-07-28","2026-07-28","Mental health counselor","101YM0800X","KIMBERLY CAREW","OWNER","7275157876"
"1225951940","BRINKLEY STONE, PLLC","7 CRESTLAND RD","","ASHEVILLE","NC","288031513","8286065591","","2026-07-31","2026-07-31","Mental health clinic","261QM0801X","BRINKLEY STONE","OWNER","8286065591"
"1467374975","COMPREHENSIVE HEALTHCARE - BENTON COUNTY","216 W 10TH AVE","","KENNEWICK","WA","993366300","5098709150","","2026-07-27","2026-07-27","Community / behavioral health","251S00000X","JODI DALY","PRESIDENT/CEO","5095754084"
"1548183262","NEUMA COUNSELING AND COUNSULTING, LLC.","801 NORTHWAY DR STE 205","","ANCHORAGE","AK","995140017","7344308883","7343618346","2026-07-31","2026-07-31","Professional counselor","101YP2500X","DELROY DUCKWORTH","CLINICAL THERAPIST","9073100331"
"1053233304","WILSON MILLER COUNSELING SERVICES LLC","1347 W MAIN ST","","DOTHAN","AL","363011309","3347904370","","2026-07-28","2026-07-28","Professional counselor","101YP2500X","JORDAN MILLER","OWNER","3347904370"
"1245152776","FIVE AND BEYOND","2400 BROOKRIDGE DR APT 12","","TEXARKANA","AR","718543338","9038267907","","2026-07-27","2026-07-27","Community / behavioral health","251S00000X","TABATHA RANDLE","OWNER","9038267907"
"1942122445","CORNERSTONE COUNSELING AND CONSULTING LLC","6040 W CROCUS DR","","GLENDALE","AZ","853064137","6236403105","","2026-07-27","2026-07-27","Professional counselor","101YP2500X","THEMBANI HLAZO-THREADGILL","MANAGING PARTNER","6236403105"
"1558284190","UTILE CASE MANAGEMENT AND CLINICAL SERVICES","2810 LONE TREE WAY","","ANTIOCH","CA","945094956","9252550002","9255218715","2026-07-31","2026-07-31","Professional counselor","101YP2500X","QUEEN ADU-POKU","LICENSED CLINICAL SOCIAL WORKER","9252550002"
"1841112968","ROAD TO ME RECOVERY SERVICES","10050 RALSTON RD STE 1BE","","ARVADA","CO","800044974","7205246360","7207129003","2026-07-29","2026-07-29","Community / behavioral health","251S00000X","KATIE BRYDON","DIRECTOR","7204012340"
"1104748649","NEW LIFE INTEGRATED HEALTH","35 JEM WOODS RD","","OXFORD","CT","064781594","2039511858","2039511857","2026-07-27","2026-07-27","Mental health clinic","261QM0801X","MICHAEL ALLEN","CEO","2038563936"
"1588586531","MAGESTIC HEALTH SERVICES","1629 K ST NW","","WASHINGTON","DC","200061602","2404808280","","2026-07-29","2026-07-29","Mental health counselor","101YM0800X","CHRISTINE NKWAIN","CEO/PRESIDENT","2404808280"
"1518880152","ABA FUTURE KIDS LLC","2625 PONCE DE LEON BLVD STE 101C","","CORAL GABLES","FL","331346027","3053006499","","2026-07-31","2026-07-31","Behavior analyst","103K00000X","JOSEFINA CAMMARANO DE CASAS","PRESIDENT","3053006499"
"1811819998","HEALING AND HEALTHY COUNSELING LLC","2967 CLARKSTON RD","","AUGUSTA","GA","309099221","4706451541","","2026-07-29","2026-07-29","Mental health counselor","101YM0800X","JESSICA SHINE","OWNER","4706451541"
