"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1952211005","NEW LEAF MINISTRIES","11555 CORTEZ AVE","","ADELANTO","CA","923011929","7608774427","","2026-09-10","2026-09-10","Community / behavioral health","251S00000X","AMANDA UPTERGROVE","PASTOR","9493776004"
"1013827153","ANCHOR AND BLOOM SOLUTIONS LLC","5900 BALCONES DR STE 100","","AUSTIN","TX","787314298","4092945383","","2026-09-10","2026-09-10","Community / behavioral health","251S00000X","ANTARIAN GRIFFIN","OWNER","3182783766"
"1326957051","BILINGUAL COUNSELING AND EDUCATION LLC","2200 NW CORPORATE BLVD STE 306","","BOCA RATON","FL","334317307","5616785227","5618969891","2026-09-07","2026-09-07","Mental health counselor","101YM0800X","LUISA CORDEIRO ANDERSON","OPERATIONS MANAGER","5616785227"
"1689584237","INNER WORTH MENTAL HEALTH COUNSELING, PLLC","45 POPLAR CREEK DR","","ASHEVILLE","NC","28805","9179602153","","2026-09-08","2026-09-08","Mental health counselor","101YM0800X","ELLIOTT SKAGGS","MEMBER-MANAGER","9179602153"
"1174433049","BRIDGE-IT MIND BODY PSYCHOTHERAPY","10203 NE 29TH PL","","BELLEVUE","WA","980041935","4252142217","","2026-09-11","2026-09-11","Mental health counselor","101YM0800X","BRIDGITTE MATHIASEN","OWNER","4252142217"
"1285543967","HONORING THE LIGHT LLC","3921 PATRICIA LN","","ANCHORAGE","AK","995044666","9076176187","","2026-09-07","2026-09-07","Mental health counselor","101YM0800X","BRENDA BYRD","OWNER","9076176187"
"1548170137","TO BE SEEN COUNSELING, LLC","816 PALMER RD STE B","","MADISON","AL","357583108","2567554599","","2026-09-08","2026-09-08","Mental health counselor","101YM0800X","STACEY GARDNER","COUNSELOR","4122877088"
"1427968569","BRIGHT PATH PLAY THERAPY AND COUNSELING PLLC","3102 SE J ST","","BENTONVILLE","AR","727123796","8702502169","","2026-09-10","2026-09-10","Mental health clinic","261QM0801X","JUSTINE TUCKER","LICENSED PROFESSIONAL COUNSELOR","8702502169"
"1659281970","HOMES BY LIGHTHOUSE","4677 S MARION PL","","CHANDLER","AZ","852494795","2192140108","","2026-09-09","2026-09-09","Community / behavioral health","251S00000X","DONALD ROBINSON","OWNER","2192140108"
"1508775214","SACRED ROOTS ALCHEMY","81 ABBEYWOOD LN","","ALISO VIEJO","CA","926562907","9499423207","","2026-09-07","2026-09-07","Mental health clinic","261QM0801X","MIRIAM ROBB","PRESIDENT","9499423207"
"1407766470","INSPIRING GROWTH COUNSELING LLC","15200 E GIRARD AVE STE 4200","","AURORA","CO","800145077","3035982391","","2026-09-10","2026-09-10","Mental health counselor","101YM0800X","KATHARINE VOGT","CLINICAL DIRECTOR","3035982391"
"1912817297","KAYLA LEAVITT LLC","39 NEW LONDON TPKE STE 316","","GLASTONBURY","CT","060334270","8604306532","","2026-09-09","2026-09-09","Community / behavioral health","251S00000X","KAYLA LEAVITT","LICENSED CLINICAL SOCIAL WORKER","8604306532"
"1891605945","BEACH PLUM COUNSELING LLC","17527 NASSAU COMMONS BLVD # 210","","LEWES","DE","199586283","5189650236","","2026-09-10","2026-09-10","Mental health counselor","101YM0800X","AMANDA ALBANESE","OWNER","5189650236"
"1023928462","BRIGHT ACHIEVEMENTS FL LLC","6699 N FEDERAL HWY STE 201","","BOCA RATON","FL","334871662","8887680077","8008740959","2026-09-09","2026-09-09","Behavior analyst","103K00000X","DANIEL LEVENSON","OWNER","8887680077"
"1710897400","SUMMIT IVY INCLUSION LLC","2025 BENT CREEK MNR","","ALPHARETTA","GA","300058712","2064220009","","2026-09-08","2026-09-08","Behavior analyst","103K00000X","AMIT SOOD","CO-FOUNDER","7706536146"
