"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1396663266","IMAN THERAPY INC.","5533 RED JASPER WAY","","ANTELOPE","CA","958433710","5017769612","","2026-07-08","2026-07-08","Marriage and family therapist","106H00000X","KAMAL AHMED","MARRIAGE AND FAMILY THERAPIST","5017769612"
"1205754769","ABROI PSYCHIATRY PLLC","800 ROCKEFELLER LN","","ALLEN","TX","750025097","9032259096","9727556782","2026-07-09","2026-07-09","Adult mental health clinic","261QM0850X","BETELIHEM CHECOL","OWNER","9032259096"
"1629997044","CLEAR SKIES ABA THERAPY, LLC","3944 KNOTT DR","","APOPKA","FL","327126438","3212774482","","2026-07-10","2026-07-10","Behavior analyst","103K00000X","CARLOS SANCHEZ","OWNER","3212774482"
"1841118023","ELIANA'S BLESSINGS, LLC","6303 HOLLY KNOLL DR","","CHARLOTTE","NC","282272429","7047106240","9802060317","2026-07-07","2026-07-07","Community / behavioral health","251S00000X","TAYONA CURRY","OWNER","7047106240"
"1023936127","LEMAIRE COUNSELING, PLLC","119 W 5TH AVE STE 203","","ELLENSBURG","WA","989263180","5095933842","","2026-07-07","2026-07-07","Mental health clinic","261QM0801X","JOEL LEMAIRE","COUNSELOR, OWNER","5095933842"
"1396663712","COUNSELING COVE OF ALASKA, LLC","565 UNIVERSITY AVE STE 2","","FAIRBANKS","AK","997093687","9073471945","","2026-07-06","2026-07-06","Mental health counselor","101YM0800X","KRISTA ZODY","LPC/OWNER","9073471945"
"1639098148","ALIGNED MINDS COUNSELING & CONSULTING LLC","1308 CHURCH ST NE","","DECATUR","AL","356012630","7578141928","","2026-07-10","2026-07-10","Mental health counselor","101YM0800X","SIENNA FLEMING-COPPEDGE","MENTAL HEALTH THERAPIST","7578141928"
"1760300594","MOSAIC MENTAL HEALTH PLLC","924 VAN RONKLE ST STE 3","","CONWAY","AR","720324324","4797909307","","2026-07-08","2026-07-08","Professional counselor","101YP2500X","JOSHUA GARRETT-JONES","MENTAL HEALTH THERAPIST","4797909307"
"1184542920","SOMETHING NEW COUNSELING AND CONSULTATION LLC","130 W GUADALUPE RD APT 2040","","GILBERT","AZ","852333344","9519225055","","2026-07-08","2026-07-08","Mental health counselor","101YM0800X","AMANDA HARMON","OWNER/OPERATOR","9519225055"
"1366360737","BRIGHTSIDE BEHAVIORAL HEALTH CENTER","333 N SANTA ANITA AVE STE 3","","ARCADIA","CA","910062854","7472771117","","2026-07-06","2026-07-06","Mental health clinic","261QM0801X","ALEN SARGSYAN","CEO/OWNER","7472771117"
"1972421410","CONIFER COUNSELING AND THERAPY SERVICES, INC","288 MAIN ST UNIT 7","","BAILEY","CO","804215014","7207220122","","2026-07-09","2026-07-09","Mental health clinic","261QM0801X","SARA PETERSON","CCO","7207221577"
"1609794429","LINDSEY MIRANDA LLC","304 MAIN STREET","","FARMINGTON","CT","06032","2035202203","","2026-07-08","2026-07-08","Mental health counselor","101YM0800X","LINDSEY MIRANDA","THERAPIST","2035202203"
"1134048655","J3 HEALTH SERVICES LLC","1629 K ST NW STE 300","","WASHINGTON","DC","200061631","2404677438","","2026-07-10","2026-07-10","Mental health counselor","101YM0800X","DESMOND ACHIRI","CEO","2404677438"
"1992623144","HOPE HARBOR THERAPY, LLC","420 OLD LAUREL RD","","GEORGETOWN","DE","199471822","3028021445","","2026-07-07","2026-07-07","Behavior analyst","103K00000X","LAUREN DENHAM","MANAGING MEMBER / CLINICAL DIRECTOR","3028021445"
"1932028321","THE COUNSELING NOOK","1008 NE 115TH ST","","BISCAYNE PARK","FL","331616738","3054916627","","2026-07-10","2026-07-10","Marriage and family therapist","106H00000X","ALINA SCHINDLER-CLARKE","OWNER","3054916627"
