"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1487575387","CAREISMA LLC","1910 OXFORD ST APT 507","","BERKELEY","CA","947045301","4083036664","","2026-07-24","2026-07-24","Community / behavioral health","251S00000X","CAMILLE CARNEY","CEO","4083726763"
"1083534812","VICTORIA L ELLIS PLLC","2607 DUTHER DR","","ARLINGTON","TX","760151214","2142539249","","2026-07-20","2026-07-20","Mental health clinic","261QM0801X","VICTORAI ELLIS","OWNER","2142539249"
"1407776453","ELEVATE SOUND MINDS, LLC","3731 N COUNTRY CLUB DR APT 724","","AVENTURA","FL","331801742","3054798619","3054798619","2026-07-20","2026-07-20","Mental health counselor","101YM0800X","MURIEL MEDINA","CO-OWNER","3054798619"
"1043131055","BEST PART, LLC","509 N 1ST ST","","ALBEMARLE","NC","280013301","9804129987","","2026-07-24","2026-07-24","Mental health counselor","101YM0800X","MALISHA ROSS","CEO","7046060903"
"1144140906","LIFEGROWTH RESOURCES","3819 100TH ST SW STE 8A","","LAKEWOOD","WA","984994477","2532546341","","2026-07-20","2026-07-20","Mental health clinic","261QM0801X","DANIEL MILLION","MENTAL HEALTH THERAPIST","2532546341"
"1891616819","DENALI BEHAVIORAL ASSOCIATES","840 K ST","","ANCHORAGE","AK","995013353","8882817969","","2026-07-24","2026-07-24","Professional counselor","101YP2500X","PATRICIA GRIESHEIMER","CEO","8142430414"
"1114847035","THE HEIGHTS COUNSELING LLC","549 1ST ST N STE C","","ALABASTER","AL","350078755","2058409387","","2026-07-20","2026-07-20","Mental health clinic","261QM0801X","CASSIDY REDDING","OWNER/THERAPIST","2059832119"
"1952221848","PSYCHIATRY OF TEXAS PLLC","3000 MEDICAL CENTER PKWY","","BENTONVILLE","AR","727123217","8328694818","8322412902","2026-07-20","2026-07-20","Mental health counselor","101YM0800X","FAISAL TAI","AUTHORIZED OFFICIAL","8328694818"
"1730009580","DESERT BREEZE COUNSELING PLLC","2509 S POWER RD STE 110","","MESA","AZ","852096696","4804428806","","2026-07-20","2026-07-20","Mental health counselor","101YM0800X","NATALIE MARTIN","OWNER","4807738272"
"1740101823","ACTION POTENTIAL PSYCHOLOGICAL SERVICES, INC.","858 S BARLOW LN","","BISHOP","CA","935143144","7609206007","","2026-07-23","2026-07-23","Psychologist","103T00000X","JACOB EIDE","OWNER, CLINICAL PSYCHOLOGIST","2064077930"
"1134040397","COACHING PLUS","13590 E MISSISSIPPI AVE","","AURORA","CO","800123588","4405308781","","2026-07-23","2026-07-23","Mental health counselor","101YM0800X","MICHAEL CROSSLAND","OWNER","4405308781"
"1962323329","ROOT AND RISE LLC","170 CANDLEWOOD LAKE RD","","BROOKFIELD","CT","068042118","2033004944","","2026-07-22","2026-07-22","Professional counselor","101YP2500X","NICOLE ROTOVNIK","OWNER","2033004944"
"1356261044","BEYOND THE SESSION COUNSELING & WELLNESS","700 SCOTTISH FOLD WAY UNIT 107","","MILFORD","DE","199632080","3022296583","","2026-07-21","2026-07-21","Mental health counselor","101YM0800X","DAVID BUNCH","LICENSED PROFESSIONAL COUNSELOR","3022296583"
"1568383834","RESOLUTION FOCUSED COUNSELING LLC","6012 9TH AVE W","","BRADENTON","FL","342094103","9417557830","","2026-07-23","2026-07-23","Mental health counselor","101YM0800X","LINDA MARTIN","COUNSELOR, PRESIDENT","9417557830"
"1407776222","BRIDGEWELL SERVICES LLC","3760 THAXTON RD SW","","ATLANTA","GA","303317975","4047343338","","2026-07-20","2026-07-20","Community / behavioral health","251S00000X","DIAMOND COOKE","CEO","4047343338"
