"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1174430417","KRYSTELINA GONZALEZ, LMFT INC.","18077 OUTER HWY 18 STE 300","","APPLE VALLEY","CA","923072168","4422296446","","2026-08-24","2026-08-24","Marriage and family therapist","106H00000X","KRYSTELINA GONZALEZ","MFT","4422296446"
"1801704291","NOMAD FAMILY THERAPY PLLC","304 JAMES ST","","ALEDO","TX","760084304","4057653323","","2026-08-28","2026-08-28","Marriage and family therapist","106H00000X","JEANI COPELAND","OWNER","4057653323"
"1881501880","HOLISTIC HEALTH MEDICAL CENTER AND MED SPA LLC","26381 S TAMIAMI TRL STE 116","","BONITA SPRINGS","FL","341347803","2397770384","","2026-08-25","2026-08-25","Mental health clinic","261QM0801X","JOEL PELISSIER","PARTNER","2392366130"
"1316854847","ROOTED RESILIENCY, PLLC","341 BUCKLAND MILLS CT","","CARY","NC","275134284","9843942522","","2026-08-27","2026-08-27","Mental health counselor","101YM0800X","CARRIE WESSELS","OWNER","9843942522"
"1275440273","NW SYSTEMS THERAPY","625 CANTERBURY LN","","COLBERT","WA","990055111","5098180832","","2026-08-25","2026-08-25","Marriage and family therapist","106H00000X","STACY KEOGH","OWNER, CLINICIAN","5098180832"
"1053228643","CROSS RIVER THERAPY AK","3300 ARCTIC BLVD STE 201","","ANCHORAGE","AK","995034579","9193750475","","2026-08-27","2026-08-27","Behavior analyst","103K00000X","STEVEN ZAUDERER","CEO","9193750475"
"1902713068","ONSITE CONNECTIONS, LLC","26760 NEWBY RD","","ATHENS","AL","356138321","2564274777","","2026-08-25","2026-08-25","Community / behavioral health","251S00000X","KATIE HATFIELD","OWNER, CEP","2564274777"
"1013825496","ARTRA COMMUNITY SUPPORT SERVICES","12 LABETTE CT","","LITTLE ROCK","AR","722056807","5016441266","","2026-08-28","2026-08-28","Community / behavioral health","251S00000X","MARTERREON RANDLE","OWNER","5016441266"
"1891602652","SKYBOX THERAPY PLLC","1525 S HIGLEY RD STE 104","","GILBERT","AZ","852965045","4802692243","","2026-08-26","2026-08-26","Community / behavioral health","251S00000X","SHAYNA MCGRAW","OWNER","4802692243"
"1104733252","AFFINITY GROUP THERAPY CENTERS INC.","1731 16TH ST STE H","","BAKERSFIELD","CA","933015180","6613748577","","2026-08-25","2026-08-25","Marriage and family therapist","106H00000X","JACQUELINE SMITH","CEO","3237074897"
"1629986831","INDEPENDENCE BY DESIGN LLC","8429 EVERETT WAY UNIT E","","ARVADA","CO","800052384","7209883445","","2026-08-29","2026-08-29","Community / behavioral health","251S00000X","MELLISA UMPHENOUR","OWNER","7209883445"
"1881502086","HEY NEIGHBOR THERAPY, LLC","4 MAIN ST","","NEW MILFORD","CT","067762802","8606317476","","2026-08-29","2026-08-29","Marriage and family therapist","106H00000X","JESSICA CHESBRO","MARRIAGE AND FAMILY THERAPIST","8606317476"
"1760399851","BARNES THERAPUETIC SERVICES LLC","1520 E ST SE","","WASHINGTON","DC","200032443","7867885080","7867885084","2026-08-25","2026-08-26","Professional counselor","101YP2500X","IRVIN BARNES","CEO","7867885080"
"1497662795","CLIENT-CENTERED CONNECTIONS, LLC","1903 S CONGRESS AVE STE 300","","BOYNTON BEACH","FL","334266558","5618395585","","2026-08-25","2026-08-25","Mental health clinic","261QM0801X","LAINIE ROLDAN","OWNER","5618395585"
"1326955121","BEST DAY PSYCHIATRY AND COUNSELING, PC","2300 LAKEVIEW PKWY STE 700","","ALPHARETTA","GA","300099066","9103231543","9104832026","2026-08-26","2026-08-26","Professional counselor","101YP2500X","KAREN MATLACK","ADMINISTRATOR DIRECTOR","9103231545"
