"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1992614705","KARMA IN MOTION FAMILY THERAPY INC","2034 BLAKE ST","","BERKELEY","CA","947042640","5107010154","","2026-09-05","2026-09-05","Marriage and family therapist","106H00000X","RHAMELL STEVENSON","CEO","5107010154"
"1457260606","ANCHORED ROSE THERAPY PLLC","2111 DICKSON DR STE 14","","AUSTIN","TX","787044788","5125807245","","2026-09-03","2026-09-03","Mental health counselor","101YM0800X","KATHRYN FISCHER","OWNWE/PSYCHOTHERAPIST","5126193355"
"1215846217","COLOR ME INCLUDED ABA LLC","3631 HAVENDALE BLVD STE B","","AUBURNDALE","FL","338234605","8632968113","","2026-09-04","2026-09-04","Community / behavioral health","251S00000X","MELISSA ARROYO","OWNER","8632077992"
"1831007012","MOUNTAINSIDE COUNSELING","802 FAIRVIEW RD STE 4000","","ASHEVILLE","NC","288031170","3093613031","","2026-08-31","2026-08-31","Professional counselor","101YP2500X","KELLY KIMMERLING","OWNER","3093613031"
"1487563888","TIDAL MENTAL HEALTH COUNSELING","5800 BATTLE POINT DR NE","","BAINBRIDGE ISLAND","WA","981103406","5106333221","","2026-09-02","2026-09-02","Mental health counselor","101YM0800X","KARA RUBENS","LICENSED MENTAL HEALTH COUNSELOR","5106333221"
"1548179955","SUMMIT PSYCHIATRY ASSOCIATES","247 S ALASKA ST","","PALMER","AK","996456335","9072152353","9079316135","2026-09-02","2026-09-02","Mental health clinic","261QM0801X","MIA SLAUGHTER","CFO","4063606224"
"1952210007","PEACH CITY BEHAVIORAL THERAPY LLC","105 CORBIN ST","","CLANTON","AL","350452364","2054150834","","2026-09-03","2026-09-03","Behavior analyst","103K00000X","TAMERA HINTON","OWNER","2054150834"
"1578471116","GROVE CARE LLC","240 S MAIN ST","","BENTONVILLE","AR","727125963","4797217921","","2026-09-01","2026-09-01","Community / behavioral health","251S00000X","RYAN NICHOLS","FOUNDER","4797217921"
"1568370310","TRIED & TRU PSYCHOLOGICAL WELLBEING PLLC","11099 W EQUESTRIAN DR","","CASA GRANDE","AZ","85193","7012033319","","2026-09-01","2026-09-01","Professional counselor","101YP2500X","DANICA MILAN","OWNER","4803814112"
"1437067543","NACK BEHAVIORAL HEALTH, LLC","2150 SHATTUCK AVE STE 200","","BERKELEY","CA","947045940","3239403616","","2026-08-31","2026-08-31","Adult mental health clinic","261QM0850X","KYLE ADAMS","FOUNDER AND CEO","3239403616"
"1447168448","EON SUPPORT SERVICES","6032 N NEPAL ST","","AURORA","CO","800192275","9167706565","","2026-08-31","2026-08-31","Community / behavioral health","251S00000X","CHERRY SINGON","EXECUTIVE & RESIDENTIAL DIRECTOR","9167706565"
"1164331088","PERSONAL EXPORATIONS, LLC","244 S MAIN ST","","COLCHESTER","CT","064151405","8603777000","8605375426","2026-09-04","2026-09-04","Mental health clinic","261QM0801X","ANDREA CYR","OWNER","8603777000"
"1164330742","COMMUNITY CARE SUPPORT SERVICES INC","4301 50TH ST NW STE 300","","WASHINGTON","DC","200164395","9107797800","","2026-09-01","2026-09-01","Professional counselor","101YP2500X","BRANDON HALL","OWNER","9107797800"
"1780593103","ABOVE AND BEYOND ABA DE LLC","501 SILVERSIDE RD STE 77","","WILMINGTON","DE","198091394","3025146383","","2026-09-02","2026-09-02","Behavior analyst","103K00000X","BATSHEVA BRUDNY","CREDENTIALING","7328060091"
"1619886538","RON GAY AND ASSOCIATES, LLC.","11101 NE 11TH PL","","BISCAYNE PARK","FL","331616768","9193586062","","2026-09-04","2026-09-04","Mental health counselor","101YM0800X","RONBARDO GAY","OWNER, CEO","9193586062"
