"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1093621864","PANGEA HOPE PROFESSIONAL CLINICAL COUNSELOR CORPORATION","513 MONTCLAIR ST","","BAKERSFIELD","CA","933098542","3105025147","","2026-08-21","2026-08-21","Professional counselor","101YP2500X","ANASA STORAY-DEMBY","PRESIDENT","3105025147"
"1275449290","DAYBRIDGE SERVICES LLC","5900 BALCONES DR","","AUSTIN","TX","787314257","5126170306","","2026-08-20","2026-08-20","Mental health clinic","261QM0801X","YU LI","DIRECTOR","5126170306"
"1942115696","SOLSTICE COUNSELING, LLC","498 PALM SPRINGS DR STE 100","","ALTAMONTE SPRINGS","FL","327017849","8135698805","","2026-08-17","2026-08-18","Mental health counselor","101YM0800X","CHRISTINA SPARKS","OWNER","8135698805"
"1558276287","CEDAR ROSE COUNSELING","775 HAYWOOD RD STE C","","ASHEVILLE","NC","288067110","8283677610","8287428828","2026-08-17","2026-08-17","Professional counselor","101YP2500X","TESSA PAUL","OWNER","8289251928"
"1043126634","EVERGREEN PSYCHIATRY PLLC","32206 49TH AVE S","","AUBURN","WA","980013111","2063215569","","2026-08-21","2026-08-21","Mental health clinic","261QM0801X","HARDEEP KAUR","APRN","2063215569"
"1720994478","SOUNDHEART COUNSELING LLC","5432 E NORTHERN LIGHTS BLVD # 562","","ANCHORAGE","AK","995084713","9073101404","","2026-08-21","2026-08-21","Mental health clinic","261QM0801X","NAWAL ALHAWSAWI","CLINICIAN","9073101404"
"1609781582","FIRE WITHIN THERAPY","40666 HWY 75, SOUTH","","ALTOONA","AL","35595","2058812646","2054465580","2026-08-17","2026-08-17","Mental health counselor","101YM0800X","JENNIFER DOTY","EXECUTIVE DIRECTOR","2054465580"
"1063328151","LEARNING AND BEHAVIOR SOLUTIONS","1807 SW REGIONAL AIRPORT BLVD","","BENTONVILLE","AR","727137755","4792684326","","2026-08-20","2026-08-20","Community / behavioral health","251S00000X","KAYLA JEFFRIES","RBT","9132354445"
"1164337978","INCLUSIVE MENTAL WELLNESS LLC","4509 W HASAN DR","","LAVEEN","AZ","853391960","4805328214","","2026-08-17","2026-08-17","Professional counselor","101YP2500X","VICKEY SIMMONS-HART","OWNER/OPERATOR","4805328214"
"1184539850","NEW BEGINNINGS, CASTRO LICENSED CLINICAL SOCIAL WORKER PC","1007 E COOLEY DR STE 116","","COLTON","CA","923243901","9512238059","","2026-08-17","2026-08-17","Mental health counselor","101YM0800X","CHRISTINA CASTRO","OWNER","9514810399"
"1548176126","AUTHENTIC SELF LLC","3333 IRIS AVE STE 210","","BOULDER","CO","803011998","9704701240","","2026-08-21","2026-08-21","Mental health counselor","101YM0800X","MARK DEWOLF","OWNER","9704701240"
"1154237717","PAZ MENTAL HEALTH COUNSELING SERVICES PLLC","97 TESINY AVE","","BRIDGEPORT","CT","066062860","3473463300","","2026-08-21","2026-08-21","Mental health counselor","101YM0800X","KRISTY PAZ","OWNER","3473463300"
"1144136300","IN PROCESS PSYCHOTHERAPY AND CONSULTING","300 M ST NE APT 618","","WASHINGTON","DC","200028083","2025400491","","2026-08-19","2026-08-19","Mental health clinic","261QM0801X","MARK COVINGTON","CEO / PSYCHOTHERAPIST","3368163627"
"1114833993","RESTORATION OF THE MIND, LLC","1254 S FARMVIEW DR","","DOVER","DE","199043370","3022190973","","2026-08-20","2026-08-20","Community / behavioral health","251S00000X","LASHANDA CRAWFORD","CLINICIAN/OWNER","2156875151"
"1891600375","KIDZ WORLD THERAPY SERVICES LLC","40 SW AVENUE B","","BELLE GLADE","FL","33430","7747623201","","2026-08-18","2026-08-18","Behavior analyst","103K00000X","CALEB ALVAREZ TORRES","CEO","7747623201"
