"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1679498687","AUBREY STROUB, LICENSED CLINICAL SOCIAL WORKER INC.","13002 CHALLIS FOREST LN","","BAKERSFIELD","CA","933148000","6613455048","","2026-08-11","2026-08-11","Adult mental health clinic","261QM0850X","AUBREY STROUB","PRESIDENT","6613455048"
"1942125612","ASTRA TX BHE PLLC","4400 BUFFALO GAP RD","","ABILENE","TX","796062723","9192000240","","2026-08-12","2026-08-12","Behavior analyst","103K00000X","EITAN ADAMS","MANAGER","9192000240"
"1912821000","INTEGRATIVE LIFE SOLUTIONS LLC","460 W CENTRAL PKWY","","ALTAMONTE SPRINGS","FL","327142415","8285450699","","2026-08-10","2026-08-10","Mental health counselor","101YM0800X","NICOLE DEAVER","OWNER","8285450699"
"1023933629","BLACK CAT COUNSELING & WELLNESS, PLLC","4012 OLD STURBRIDGE DR","","APEX","NC","275399799","7574691720","","2026-08-12","2026-08-12","Mental health counselor","101YM0800X","SAMANTHA EUBANKS","MENTAL HEALTH COUNSELOR","7574691720"
"1467377846","LAURAL CASAL COUNSELING, LLC","785 ERICKSEN AVE NE STE 118","","BAINBRIDGE ISLAND","WA","981103283","2064138042","","2026-08-12","2026-08-12","Professional counselor","101YP2500X","LAURAL CASAL","OWNER","2064138042"
"1043135064","ROOTED RESILIENCE COUNSELING","200 OFFICE PARK DR STE 205","","MOUNTAIN BRK","AL","352232455","2052596979","","2026-08-11","2026-08-11","Mental health counselor","101YM0800X","KALEY TRAMMELL","OWNER","2055142992"
"1669397956","STARLIGHT ABA AR LLC","900 SE 5TH ST","","BENTONVILLE","AR","727126030","8778888740","","2026-08-13","2026-08-13","Behavior analyst","103K00000X","RAIZEL LEBOVITS","DIRECTOR","8778888740"
"1427973668","ANSWERS WITHIN PLLC","3651 E BASELINE RD STE 222","","GILBERT","AZ","852345450","4802205864","","2026-08-13","2026-08-13","Mental health clinic","261QM0801X","JESSICA DERY","OWNER","4802205864"
"1588589006","BRILLANDO JUNTOS LEARNING CARE LLC","3998 CASTRO VALLEY BLVD SPC 14","","CASTRO VALLEY","CA","945466060","9259223122","","2026-08-12","2026-08-12","Behavior analyst","103K00000X","MARIA ANGELICA GARCIA","BEHAVIOR ANALYST CEO","9259223122"
"1205741212","PINNACLE ABA CENTER LLC","2821 S PARKER RD STE 1077","","AURORA","CO","800142823","3039011502","","2026-08-14","2026-08-14","Behavior analyst","103K00000X","ABDIMALIK FARAH","OWNER","3039011502"
"1205750304","BRIAR & BLOOM THERAPY LLC","63 HART ST","","BRISTOL","CT","060102343","8609677032","","2026-08-10","2026-08-10","Professional counselor","101YP2500X","EMILY BRYANT","OWNER","8609677032"
"1073437190","ALEXIS MORENO CONSULTING LLC","80 M ST SE","","WASHINGTON","DC","200033544","5627153109","","2026-08-10","2026-08-10","Mental health counselor","101YM0800X","ALEX HONIGMAN","CLINICAL DIRECTOR","5627153109"
"1326963018","SENIORWELL COUNSELING AND THERAPY LLC","511 N BOARDWALK FL 1","","REHOBOTH BEACH","DE","199712162","7322048195","7323289958","2026-08-11","2026-08-11","Professional counselor","101YP2500X","CRYSTAL BECKWITH","OWNER / AUTHORIZED OFFICIAL","7322048195"
"1104731397","GRACEFUL STEPS ABA THERAPY","1125 AUDACE AVE APT 412","","BOYNTON BEACH","FL","334263493","5617189744","","2026-08-14","2026-08-14","Behavior analyst","103K00000X","ANGELICA LLOYD","OWNER","5617189744"
"1174448005","CHATTERBOX ABA LLC","11785 NORTHFALL LN STE 508","","ALPHARETTA","GA","300097961","7705692274","","2026-08-11","2026-08-13","Behavior analyst","103K00000X","ALEXANDRA MERCADO BAEZ","CLINICAL DIRECTOR","7876915627"
